source1_entity_id	candidate_entity_id	ann_rank
S1-965667	S2-743505751	1
S1-965667	S3-860443364	2
S1-965667	S3-11291185	3
S1-965667	S2-681193310	4
S1-965667	S2-166548915	5
S1-965667	S3-867797549	6
S1-965667	S2-280883396	7
S1-965667	S2-848926449	8
S1-965667	S3-393927786	9
S1-965667	S2-593991391	10
S1-965667	S2-485733140	11
S1-965667	S3-276472491	12
S1-965667	S2-750663500	13
S1-965667	S2-66891471	14
S1-965667	S3-227679086	15
S1-965667	S3-635422671	16
S1-965667	S2-104282563	17
S1-965667	S3-924140673	18
S1-965667	S2-888926842	19
S1-965667	S2-563969167	20
S1-55344266	S2-197070651	1
S1-55344266	S3-478195123	2
S1-55344266	S2-541316021	3
S1-55344266	S3-597597328	4
S1-55344266	S3-390681333	5
S1-55344266	S2-171959777	6
S1-55344266	S2-249013014	7
S1-55344266	S3-938870461	8
S1-55344266	S2-80634708	9
S1-55344266	S3-384364074	10
S1-55344266	S3-273986641	11
S1-55344266	S3-252557955	12
S1-55344266	S3-153116071	13
S1-55344266	S2-287408391	14
S1-55344266	S2-31829551	15
S1-55344266	S3-595659780	16
S1-55344266	S2-261783284	17
S1-55344266	S2-664760539	18
S1-55344266	S3-704567952	19
S1-55344266	S3-313401522	20
S1-343815751	S2-479876582	1
S1-343815751	S2-790675320	2
S1-343815751	S3-878454467	3
S1-343815751	S2-57624641	4
S1-343815751	S2-848266051	5
S1-343815751	S2-754031074	6
S1-343815751	S2-44815946	7
S1-343815751	S3-951849678	8
S1-343815751	S3-791592839	9
S1-343815751	S3-402303239	10
S1-343815751	S3-14054909	11
S1-343815751	S3-397260963	12
S1-343815751	S3-947625201	13
S1-343815751	S3-210721073	14
S1-343815751	S3-437340906	15
S1-343815751	S2-770844323	16
S1-343815751	S2-515594781	17
S1-343815751	S3-474620462	18
S1-343815751	S2-241536237	19
S1-343815751	S2-764931535	20
S1-656753428	S3-540821671	1
S1-656753428	S3-31653925	2
S1-656753428	S2-584865644	3
S1-656753428	S2-38112311	4
